id,NE 3-5,aFB sum,RE sum,aFB+EF sum,aFB+RE sum,aFB+EF+RE sum
1,38.64541663,40.24624997,38.7420833,39.78291663,40.59291663,39.60624997
2,35.40777222,35.48943889,35.21360556,36.0089627,35.83360556,36.26610556
3,35.48144444,36.6795,36.20866667,36.332,36.75283333,35.43533333
4,34.9200833,35.96124997,36.7750833,36.89924997,36.2275833,36.8775833
5,37.67577778,37.41133333,37.73966667,37.90633333,36.87216667,36.87883333
6,50.92233333,50.57316667,50.5965,50.379,50.05391667,51.91233333
7,47.904,47.89716667,48.58716667,49.56633333,48.43966667,50.093
8,35.00606731,34.98878953,35.37062287,35.79478953,35.26228953,35.74062287
9,26.962975,28.09186389,27.78753056,29.87769722,28.21636389,29.53553056
10,24.73904167,25.70890278,24.84515278,26.70981945,25.10299306,25.77931945
11,32.45821667,32.38932778,33.04766111,33.37391111,33.24182778,32.80766111
12,38.9177286,39.17297069,38.11373951,41.1729512,40.87055,39.85806203
13,39.52922222,40.049361,39.53519433,41.411861,40.97686667,40.834361
14,47.83111113,47.3377778,48.3557778,49.10194447,47.58194447,48.39761113
15,46.18358336,46.12219447,46.16886113,46.76219447,48.3155278,47.43469447
16,39.14833333,39.38166667,40.57266667,40.29216667,40.52383333,41.0555
17,32.37333333,32.48566667,32.82583333,33.63,32.09416667,32.2275
18,42.57266667,43.312,41.95766667,42.386,43.16766667,42.556